"Activity Name","Operation","actionId","User Name","Source IP","Role","Profile","Country","City","Activity Trust","Trusted For","Trust Reason","ASN","Account ID","IP Organization","Device Type","OS","Browser","Activity Timestamp","Processed Timestamp","Parent Service Name","CSP ID","Sub-Service Name","Instance","Number of Events","File/Report Name","File/Folder Path","File Size","File Type","File Owner","Last Modified","Directory?","Domain","Sharing Enabled?","URL","Report Details","Other Info","targetId","Proxy Type","Proxy Description","Network Type","Region","ASN Name","Device ID","Device Managed"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"Password logon initial auth using password - Success","PasswordLogonInitialAuthUsingPassword - Success","N/A","user1@shnyhddev05.onmicrosoft.com","70.42.134.190","N/A","N/A","US","san jose","N/A","N/A","N/A","14807","N/A","skyhigh networks","N/A","N/A","N/A","February 18,2018 21:54:31:000Z","February 18,2018 21:54:00:000Z","Office365","2698","AzureAD","Skyhigh Networks","1","N/A","N/A","N/A","N/A","N/A","N/A","false","N/A","false","N/A","N/A","N/A","N/A","hosting","N/A","broadband","ca","skyhigh networks inc","N/A","false"
"File deleted","FileDeleted","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","HjPkFA92T8YBd-Confidential.docx","https://shnyhddev05.sharepoint.com/Quarantine","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Quarantine/HjPkFA92T8YBd-Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"FileVersionDeleted","FileVersionDeleted","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"File modified","FileModified","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:26:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
"FileModifiedExtended","FileModifiedExtended","N/A","app@sharepoint","52.8.134.60","N/A","N/A","US","san jose","N/A","N/A","N/A","16509","N/A","amazon technologies inc.","Other","JVM (Java)","Java/1.8.0_131","February 18,2018 22:01:55:000Z","February 18,2018 22:01:00:000Z","Office365","2698","SharePoint","Default","1","Confidential.docx","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65","N/A","docx","N/A","N/A","false","N/A","false","N/A","N/A","N/A","https://shnyhddev05.sharepoint.com/Shared Documents/1518971466.65/Confidential.docx","hosting","cloud","broadband","ca","amazon.com inc.","N/A","false"
